id;nom;adresse;telephone
1;Nakfa Usability back-end;magenta quantifying convergence;549-373-8220
2;e-business;Automotive;1-993-678-3530 x3924
3;input;killer;1-956-760-2691 x4345
4;Ergonomic Wooden Sausages firewall Investor;Hollow;1-686-309-6413 x60397
5;Sausages silver;Ecuador;061-971-4410
6;Tuna Polarised Home;Tunnel;1-662-502-6941 x35157
7;Self-enabling;harness Executive;1-132-898-2503
8;open-source;withdrawal;1-214-331-4587 x02544
9;synergies Bedfordshire;knowledge base Awesome;224-440-1074 x365
10;Personal Loan Account payment;synthesize Idaho partnerships;1-698-180-6893
