id;description;type_depense;montant
1;Tasty Divide;secured line deploy;56003
2;auxiliary;Brand Corporate Sleek Granite Computer;38063
3;fault-tolerant ivory Versatile;Directives Kids;92815
4;e-tailers;Bedfordshire;5102
5;Dynamic;Soap Auto Loan Account neural-net;45891
6;Papua New Guinea Syrian Pound mission-critical;Home Loan Account;14616
7;back-end Berkshire;Brand ROI;59403
8;channels impactful 1080p;South Dakota;23033
9;Handmade Clothing;Handcrafted Granite Shirt Nepal Books;75219
10;initiative Lempira Planner;Keyboard United States Minor Outlying Islands;88610
